CALLE;NUMERO;M2;DOLARES;U_S_M2;PESOS;PESOS_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
ACEVEDO;100;87;175000;2011.5;;0.0;4;0;CONTRAFRENTE;;;3;SI;BALCON;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;100;90;159900;1776.7;;0.0;4;40;;;;1;;;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;100;117;249000;2128.2;;0.0;4;30;FRENTE;SI;;3;SI;BALCON;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;100;160;295000;1843.8;;0.0;4;35;FRENTE;SI;;3;;BALCON;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;100;210;285000;1357.1;;0.0;6;48;FRENTE;;;3;;BALCON;VILLA CRESPO;15;-58.44393107334929;-34.600544619659161
ACEVEDO;200;36;75000;2083.3;;0.0;1;0;FRENTE;;;;;;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;200;39;66000;1692.3;;0.0;2;40;INTERNO;;;;;;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;200;41;78000;1902.4;;0.0;1;0;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;200;58;120000;2069.0;;0.0;2;0;CONTRAFRENTE;;;;;;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;200;74;118000;1594.6;;0.0;2;0;CONTRAFRENTE;;SI;;;;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;200;77;139000;1805.2;;0.0;3;35;CONTRAFRENTE;;;2;SI;BALCON;VILLA CRESPO;15;-58.442919105099364;-34.599717300999622
ACEVEDO;300;48;78500;1635.4;;0.0;3;45;LATERAL;;;;SI;;VILLA CRESPO;15;-58.441885900706559;-34.598876148224818
ACEVEDO;300;56;105000;1875.0;;0.0;3;40;LATERAL;SI;;1;;;VILLA CRESPO;15;-58.441885900706559;-34.598876148224818
ACEVEDO;400;45;86000;1911.1;;0.0;3;50;CONTRAFRENTE;;;;SI;;VILLA CRESPO;15;-58.440830542542543;-34.598037273863426
ACEVEDO;400;55;150000;2727.3;;0.0;3;30;FRENTE;SI;;1;;BALCON;VILLA CRESPO;15;-58.440830542542543;-34.598037273863426
ACEVEDO;400;183;450000;2459.0;;0.0;4;11;FRENTE;;;3;SI;BALCON;VILLA CRESPO;15;-58.440830542542543;-34.598037273863426
ACEVEDO;500;40;80000;2000.0;;0.0;2;0;LATERAL;;;1;;;VILLA CRESPO;15;-58.439487053448673;-34.597173087972749
ACEVEDO;500;42;72000;1714.3;;0.0;2;47;FRENTE;;;1;;BALCON;VILLA CRESPO;15;-58.439487053448673;-34.597173087972749
ACEVEDO;500;90;175000;1944.4;;0.0;0;35;;SI;;2;SI;;VILLA CRESPO;15;-58.439487053448673;-34.597173087972749
ACEVEDO;500;98;155000;1581.6;;0.0;4;30;FRENTE;;;;;;VILLA CRESPO;15;-58.439487053448673;-34.597173087972749
ACEVEDO;600;41;98000;2390.2;;0.0;2;5;LATERAL;;;2;SI;BALCON;VILLA CRESPO;15;-58.438476499942979;-34.596526631644075
ACEVEDO;600;50;107000;2140.0;;0.0;2;2;CONTRAFRENTE;;SI;2;;PATIO;VILLA CRESPO;15;-58.438476499942979;-34.596526631644075
ACEVEDO;600;60;125000;2083.3;;0.0;2;4;LATERAL;;;2;;BALCON;VILLA CRESPO;15;-58.438476499942979;-34.596526631644075
ACEVEDO;600;65;175000;2692.3;;0.0;3;4;FRENTE;SI;;1;;BALCON;VILLA CRESPO;15;-58.438476499942979;-34.596526631644075
ACEVEDO;600;70;195000;2785.7;;0.0;3;4;FRENTE;;SI;2;;BALCON;VILLA CRESPO;15;-58.438476499942979;-34.596526631644075
ACEVEDO;700;45;117000;2600.0;;0.0;2;0;FRENTE;;;;;;VILLA CRESPO;15;-58.437400755394158;-34.595838441399763
ACEVEDO;800;85;170000;2000.0;;0.0;3;35;CONTRAFRENTE;;;1;;;VILLA CRESPO;15;-58.436301442767061;-34.595135512678894
ACEVEDO;1100;64;98000;1531.3;;0.0;3;50;CONTRAFRENTE;;;1;;BALCON;VILLA CRESPO;15;-58.43309029927439;-34.593085089720802
ACEVEDO EDUARDO;400;183;450000;2459.0;;0.0;4;11;FRENTE;;;;;;CABALLITO;6;-58.431828276105634;-34.611564861508498
ACEVEDO, EDUARDO;100;73;160000;2191.8;;0.0;3;40;CONTRAFRENTE;SI;;2;;;CABALLITO;6;-58.431004968320742;-34.614420676157735
ACEVEDO, EDUARDO;200;58;110000;1896.6;;0.0;2;0;CONTRAFRENTE;;SI;1;;BALCON;CABALLITO;6;-58.430893560758101;-34.613625131611691
ACHA MARIANO Gral.;1900;53;116000;2188.7;;0.0;2;0;;;;2;;BALCON;VILLA URQUIZA;12;-58.474568796211699;-34.575339201138782
ACHA MARIANO Gral.;1900;60;136000;2266.7;;0.0;2;0;;;;2;;;VILLA URQUIZA;12;-58.474568796211699;-34.575339201138782
ACHA MARIANO Gral.;1900;86;149000;1732.6;;0.0;3;0;;;;2;;;VILLA URQUIZA;12;-58.474568796211699;-34.575339201138782
ACHA, MARIANO, Gral.;1000;48;129500;2697.9;;0.0;2;3;CONTRAFRENTE;SI;SI;1;SI;BALCON;VILLA ORTUZAR;15;-58.472208939147713;-34.583804129567831
ACHA, MARIANO, Gral.;1000;50;129000;2580.0;;0.0;2;4;FRENTE;;;2;;BALCON;VILLA ORTUZAR;15;-58.472208939147713;-34.583804129567831
ACHA, MARIANO, Gral.;1000;52;155000;2980.8;;0.0;2;2;FRENTE;SI;;1;SI;;VILLA ORTUZAR;15;-58.472208939147713;-34.583804129567831
ACHA, MARIANO, Gral.;1000;68;205000;3014.7;;0.0;3;2;FRENTE;SI;SI;;SI;BALCON;VILLA ORTUZAR;15;-58.472208939147713;-34.583804129567831
ACHA, MARIANO, Gral.;1400;28;69900;2496.4;;0.0;1;0;FRENTE;;SI;1;;BALCON;VILLA ORTUZAR;15;-58.47230719098328;-34.579621562281915
ACHA, MARIANO, Gral.;1600;55;104000;1890.9;;0.0;3;35;FRENTE;;;1;;BALCON;VILLA ORTUZAR;15;-58.472344826679745;-34.578006345624921
ACHA, MARIANO, Gral.;1700;47;117000;2489.4;;0.0;2;0;FRENTE;;;;SI;BALCON;VILLA ORTUZAR;15;-58.472863866132464;-34.577266926496357
ACHA, MARIANO, Gral.;1700;73;168900;2313.7;;0.0;3;0;;;SI;2;SI;BALCON;VILLA ORTUZAR;15;-58.472863866132464;-34.577266926496357
ACHA, MARIANO, Gral.;1700;84;169000;2011.9;;0.0;4;7;CONTRAFRENTE;SI;SI;2;SI;BALCON;VILLA ORTUZAR;15;-58.472863866132464;-34.577266926496357
ACHA, MARIANO, Gral.;1800;74;206843;2795.2;1330000;17973.0;3;0;FRENTE;;SI;1;;TERRAZA;VILLA ORTUZAR;15;-58.473792867082089;-34.576217163842387
ACHA, MARIANO, Gral.;2500;73;120000;1643.8;;0.0;2;0;FRENTE;;;;;;VILLA URQUIZA;12;-58.479170677453453;-34.570144530713762
ACHA, MARIANO, Gral.;2500;86;175000;2034.9;;0.0;3;0;FRENTE;;SI;2;;BALCON;VILLA URQUIZA;12;-58.479170677453453;-34.570144530713762
ACHA, MARIANO, Gral.;2500;99;170000;1717.2;;0.0;3;0;FRENTE;;;2;;;VILLA URQUIZA;12;-58.479170677453453;-34.570144530713762
ACHA, MARIANO, Gral.;3100;45;151955;3376.8;977068;21712.6;1;0;;;;;;;VILLA URQUIZA;12;-58.483700929924396;-34.565088285019648
ACHA, MARIANO, Gral.;4100;93;138000;1483.9;;0.0;4;40;FRENTE;;;1;SI;BALCON;SAAVEDRA;12;-58.491172772713178;-34.555372190717542
ACHA, MARIANO, Gral.;4400;86;139000;1616.3;;0.0;3;15;CONTRAFRENTE;;;1;;BALCON;SAAVEDRA;12;-58.492748835607387;-34.553103126824652
ACHA, MARIANO, Gral.;4800;41;115000;2804.9;;0.0;2;6;FRENTE;SI;;;SI;;SAAVEDRA;12;-58.494948643538777;-34.549967792253646
ACHA, MARIANO, Gral.;4800;46;120000;2608.7;;0.0;2;4;CONTRAFRENTE;;;2;;BALCON;SAAVEDRA;12;-58.494948643538777;-34.549967792253646
ACHA, MARIANO, Gral.;4900;60;128000;2133.3;;0.0;3;30;CONTRAFRENTE;;;;SI;;SAAVEDRA;12;-58.495501382477876;-34.549180059573196
ACHAVAL;200;48;125000;2615.1;;0.0;2;0;FRENTE;;;1;;BALCON;CABALLITO;6;-58.450033660848369;-34.626508366229437
ACHAVAL;200;60;157000;2616.7;;0.0;3;0;FRENTE;;SI;;;;CABALLITO;6;-58.450033660848369;-34.626508366229437
ACHAVAL;200;73;179000;2452.1;;0.0;3;0;FRENTE;;;;;BALCON;CABALLITO;6;-58.450033660848369;-34.626508366229437
ACHAVAL;200;135;350000;2592.6;;0.0;0;0;FRENTE;;;;SI;;CABALLITO;6;-58.450033660848369;-34.626508366229437
ACHAVAL;200;150;345000;2300.0;;0.0;4;0;FRENTE;;;3;SI;;CABALLITO;6;-58.450033660848369;-34.626508366229437
ACHAVAL;400;65;155000;2384.6;;0.0;3;10;FRENTE;SI;SI;2;SI;BALCON;CABALLITO;6;-58.448669012988617;-34.628881561699004
ACHAVAL;600;98;149000;1520.4;;0.0;4;23;FRENTE;SI;;2;;BALCON;PARQUE CHACABUCO;7;-58.447387843253608;-34.631576729358493
ACHAVAL;900;99;187000;1888.9;;0.0;4;30;FRENTE;;;;;;PARQUE CHACABUCO;7;-58.446243499784522;-34.634045113658075
ACHEGA;3000;44;75000;1704.5;;0.0;2;0;;;;1;;;VILLA URQUIZA;12;-58.499709462203924;-34.57479947577918
ACHEGA;3300;54;106000;1963.0;;0.0;2;0;CONTRAFRENTE;;SI;1;;BALCON;VILLA URQUIZA;12;-58.502154427639205;-34.571751113888944
ACHEGA;3300;82;148000;1804.9;;0.0;3;0;;;;1;;;VILLA URQUIZA;12;-58.502154427639205;-34.571751113888944
ACHEGA;3300;90;132000;1466.7;;0.0;3;0;;;;2;;TERRAZA;VILLA URQUIZA;12;-58.502154427639205;-34.571751113888944
ACHEGA;3300;110;156000;1418.2;;0.0;3;0;CONTRAFRENTE;;;1;;TERRAZA;VILLA URQUIZA;12;-58.502154427639205;-34.571751113888944
ACHEGA;3500;60;125000;2083.3;;0.0;3;17;FRENTE;;;;;;VILLA URQUIZA;12;-58.50432969588406;-34.569060129164036
ACONCAGUA;5800;51;75000;1470.6;;0.0;2;0;FRENTE;;;;SI;PATIO;LINIERS;9;-58.505283402191964;-34.646028205914568
ACOSTA MARIANO;100;69;92900;1346.4;;0.0;3;45;FRENTE;;;1;;BALCON;FLORESTA;10;-58.480927044216813;-34.634922296422573
ACOSTA, MARIANO;300;59;87000;1474.6;;0.0;0;40;;;;;SI;;FLORESTA;10;-58.47909918562889;-34.636388404709521
ACOSTA, MARIANO;3400;62;50544;815.2;325000;5241.9;4;35;;;;1;SI;;VILLA SOLDATI;8;-58.445473522619629;-34.663357518062512
ACOYTE;100;69;138000;2000.0;;0.0;3;70;CONTRAFRENTE;;;;;;CABALLITO;6;-58.43722294457109;-34.617165848062349
ACOYTE;100;128;175000;1367.2;;0.0;0;65;FRENTE;;;2;;;CABALLITO;6;-58.43722294457109;-34.617165848062349
ACOYTE;200;67;141000;2104.5;;0.0;3;35;CONTRAFRENTE;;;1;SI;BALCON;CABALLITO;6;-58.437739387022063;-34.615962986860964
ACOYTE;200;91;144900;1592.3;;0.0;4;45;FRENTE;SI;;;;;CABALLITO;6;-58.437739387022063;-34.615962986860964
ACOYTE;200;174;285000;1637.9;;0.0;4;35;FRENTE;;;2;;;CABALLITO;6;-58.437739387022063;-34.615962986860964
ACOYTE;300;187;400000;2139.0;;0.0;5;40;FRENTE;;;3;SI;PATIO;CABALLITO;6;-58.43790191025883;-34.614671668235459
ACOYTE;300;232;399000;1719.8;;0.0;5;40;FRENTE;SI;;2;SI;;CABALLITO;6;-58.43790191025883;-34.614671668235459
ACOYTE;300;242;350000;1446.3;;0.0;5;40;FRENTE;;;2;;TERRAZA;CABALLITO;6;-58.43790191025883;-34.614671668235459
ACOYTE;300;260;330000;1269.2;;0.0;5;0;;;;2;SI;TERRAZA;CABALLITO;6;-58.43790191025883;-34.614671668235459
ACOYTE;300;300;380000;1266.7;;0.0;5;0;;;;;;;CABALLITO;6;-58.43790191025883;-34.614671668235459
ACOYTE;400;75;149000;1986.7;;0.0;4;35;CONTRAFRENTE;;;2;SI;;CABALLITO;6;-58.437973148553716;-34.614106326163544
ACOYTE;400;163;259000;1589.0;;0.0;5;57;FRENTE;;;3;;;CABALLITO;6;-58.437973148553716;-34.614106326163544
ACOYTE;500;122;199000;1631.1;;0.0;3;30;FRENTE;;;1;;BALCON;CABALLITO;6;-58.438539195142056;-34.612876569276146
ACOYTE;500;126;150000;1190.5;;0.0;3;45;CONTRAFRENTE;;;1;SI;;CABALLITO;6;-58.438539195142056;-34.612876569276146
ACOYTE;600;26;59000;2269.2;;0.0;1;35;CONTRAFRENTE;;;1;SI;BALCON;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;50;82000;1640.0;;0.0;2;50;;;;1;;PATIO;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;57;165000;2894.7;;0.0;3;10;FRENTE;;;;;;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;63;123500;1960.3;;0.0;3;48;CONTRAFRENTE;;;;;;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;79;154000;1949.4;;0.0;3;8;;SI;;2;;TERRAZA;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;83;220000;2650.6;;0.0;4;30;FRENTE;;SI;1;;BALCON;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;600;103;210000;2038.8;;0.0;3;0;FRENTE;;;2;;BALCON;CABALLITO;6;-58.439003243295545;-34.611857203024705
ACOYTE;900;42;137170;3266.0;882000;21000.0;2;0;FRENTE;;;;;BALCON;CABALLITO;6;-58.44027827624538;-34.607770427528642
