CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BAÑO;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA;DIRECCION_NORMALIZADA;BARRIO_NORMALIZADO;COMUNA_NORMALIZADA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
24 DE NOVIEMBRE;200;90;135000;1500;1;5;4;40; ; CONTRAFRENT; ; ; ;2; ; ; ; ; BUSCAINMUEBLE/ONCE;200 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 200;BALVANERA;COMUNA 3;1170; C1170AA;-34.61293584674623;-58.41143953303377
24 DE NOVIEMBRE;400;27;60000;2222,2; ;1;1; ;A ESTRENAR; ; ; ; ;1; ; ; ; ; ARGENPROP.COM/BALVANERA;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;35;110000;3142,9;5;2;1; ;A ESTRENAR; FRENTE; ; ; ;1; ; ; ; ; BUSCAINMUEBLE/ABASTO;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;52;97000;1865,4; ;2;1; ;A ESTRENAR; CONTRAFRENT; ; ; ;0; ; ; ; ; ZONAPROP.COM_SAN CRISTOBAL;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;70;100000;1428,6;5;3;2;56; ; FRENTE; ; ; ;2; ; ;TERRAZA; ; BUSCAINMUEBLE/BALVANERA;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;400;80;115000;1437,5;1;3;3; ; ; FRENTE; ; ; ;0; S; S; ; ; ARGENPROP.COM/BALVANERA;400 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 400;BALVANERA;COMUNA 3;1170; C1170AA;-34.615241457902385;-58.41111544884485
24 DE NOVIEMBRE;442;27;64000;2370,4; ;0;0; ; ; ; ; ; ;0; ; ; ; ; INMUEBLESCLARIN.COM/BALVANERA;442 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 442;BALVANERA;COMUNA 3;1170; C1170AA;-34.61591849771549;-58.4110429739418
24 DE NOVIEMBRE;442;38;89000;2342,1; ;0;0; ;A ESTRENAR; ; ; ; ;0; ; ;BALCON; ; INMUEBLESCLARIN.COM/BALVANERA;442 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;BALVANERA;3; ;3; 24 DE NOVIEMBRE 442;BALVANERA;COMUNA 3;1170; C1170AA;-34.61591849771549;-58.4110429739418
24 DE NOVIEMBRE;1600;35;53000;1514,3; ;1;1;35; ; CONTRAFRENT; ; ; ;1; ; ;TERRAZA; ; ZONAPROP/BOEDO;1600 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;PARQUE PATRICIOS;4; ;4; 24 DE NOVIEMBRE 1600;SAN CRISTOBAL;COMUNA 4;1242; C1242AA;-34.629786760558616;-58.40981913071519
24 DE NOVIEMBRE;1600;38;90000;2368,4; ;3;2;2; ; FRENTE; ; ; ;1; ; ;TERRAZA; ; ZONAPROP/BOEDO;1600 24 DE NOVIEMBRE; 24 DE NOVIEMBRE;100;L;PARQUE PATRICIOS;4; ;4; 24 DE NOVIEMBRE 1600;SAN CRISTOBAL;COMUNA 4;1242; C1242AA;-34.629786760558616;-58.40981913071519
