X;Y;STOP_ID;TIPO;CALLE;NUMERO;ENTRE1;ENTRE2;LINEAS;DIR_NORM;CALLE_NORM;ALTURA_NOR;COORDX;COORDY;METROBUS;STOP_NAME;STOP_DESC;FUENTE;VERIFICADA;FECHA_ULTI
-58,3873995269050;-34,6182118416;1002034;PARADAS DE POSTE;SAENZ PEÑA, LUIS, PRES.;822;;;{60};SAENZ PEÑA, LUIS, PRES. 822;SAENZ PEÑA, LUIS, PRES.;822;106.960.821.921.000.000.000;101.224.147.033.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,4379579674253;-34,6185196191;1003320;PARADAS DE POSTE;HIDALGO;24;YERBAL;RIVADAVIA AV.;{36,84};HIDALGO 24;HIDALGO;24;102.324.091.674.000.000.000;101.192.303.906.999.000.000;F;;;RELEVAMIENTO2015;T;20/4/2015
-58,4347872948995;-34,6228118162;1004305;PARADA NO OFICIAL;MORENO, JOSE MARIA AV.;395;ALBERDI, JUAN BAUTISTA AV.;FORMOSA;{25,42};MORENO, JOSE MARIA AV. 395;MORENO, JOSE MARIA AV.;395;102.614.741.613.000.000.000;100.716.079.010.000.000.000;F;;;RELEVAMIENTO2015;T;10/4/2015
-58,3857997400015;-34,6239327189;8586;;;;;;{102};;;;107.107.054.687.500.000.000;100.589.398.437.500.000.000;F;;COCHABAMBA&&SAN JOSE;USIG;F;31/1/2017
-58,4665968117622;-34,6249044630;1002257;PARADAS DE POSTE;AVELLANEDA AV.;2534;;;{134,172,99};AVELLANEDA AV. 2534;AVELLANEDA AV.;2534;99.697.656.558.500.000.000;100.484.281.359.000.000.000;F;;;RELEVAMIENTO2015;T;13/4/2015
-58,4535280127176;-34,6255255875;1003254;PARADAS DE POSTE;RIVADAVIA AV.;6178;MORELOS;ALVAREZ, DONATO, TTE. GRAL. AV.;{49};RIVADAVIA AV. 6178;RIVADAVIA AV.;6178;100.896.095.344.999.000.000;100.415.346.362.000.000.000;F;;;RELEVAMIENTO2015;T;15/4/2015
-58,5270608608697;-34,6256777121;1004554;PARADA NO OFICIAL;NOGOYA;6112;;;{109,47};NOGOYA 6112;NOGOYA;6112;94.152.990.172.000.000.000;100.396.625.289.000.000.000;F;;;RELEVAMIENTO2015;T;22/4/2015
-58,3857512985541;-34,6261116355;8903;;;;;;{102,151,168};;;;107.111.312.500.000.000.000;100.347.679.687.500.000.000;F;;PAVON&&SAN JOSE;USIG;F;8/11/2016
-58,4584408708332;-34,6274650038;1002222;PARADAS DE POSTE;RIVADAVIA AV.;6560;;;{1};RIVADAVIA AV. 6560;RIVADAVIA AV.;6560;100.445.566.923.000.000.000;100.200.229.688.000.000.000;F;;;RELEVAMIENTO2015;T;10/4/2015
-58,4159940187855;-34,6284369802;1001538;PARADAS DE POSTE;BOEDO AV.;1261;CONSTITUCION;TARIJA;{128,160,165};BOEDO AV. 1261;BOEDO AV.;1261;104.337.891.415.000.000.000;100.091.420.966.000.000.000;F;;;RELEVAMIENTO2015;T;17/4/2015
-58,4762247003087;-34,6323255288;1006362;PARADA NO OFICIAL;RIVADAVIA AV.;7945;;;{88};RIVADAVIA AV. 7945;RIVADAVIA AV.;7945;98.814.862.949.500.000.000;99.660.958.293.999.900.000;F;;;RELEVAMIENTO2015;T;13/4/2015
