CALLE;NUMERO;M2;DOLARES;U_S_M2;AMBIENTES;ANTIGUEDAD;ORIENT;BAULERA;COCHERA;BAÑOS;LAVADERO;TERRAZA;BARRIO;COMUNA;LON;LAT
OLAGUER Y FELIU, VIRREY;3000;88.0;180000;2045.5;4;0;;;;2;;;COLEGIALES;13;-58.455895053689005;-34.572051808453836
NAZARRE;5200;22.0;45000;2045.5;0;25;;;;SI;;;VILLA DEVOTO;11;-58.517975107745102;-34.617302065449316
ASUNCION;4600;88.0;180000;2045.5;0;40;;;;SI;;;VILLA DEVOTO;11;-58.518064222129688;-34.605318410629764
PAREJA;3400;110.0;225000;2045.5;0;0;;;;;;;VILLA DEVOTO;11;-58.505350327396577;-34.594175015362659
PUEYRREDON;900;176.0;360000;2045.5;4;35;;;SI;3;;;BALVANERA;3;-58.404346078371951;-34.599888825297164
ESTADO DE ISRAEL;4600;44.0;90000;2045.5;1;0;;;SI;;;;ALMAGRO;5;-58.430017661759052;-34.599853898556987
GARCIA, TEODORO;3500;44.0;90000;2045.5;2;0;;;;SI;;;COLEGIALES;13;-58.451862132865791;-34.580190817963434
PIEDRAS;1700;66.0;135000;2045.5;3;0;;;;SI;SI;SI;BARRACAS;4;-58.374426707654415;-34.628516135784984
RIVADAVIA;5000;88.0;180000;2045.5;3;50;;;;2;;;CABALLITO;6;-58.436350190136736;-34.618409523106223
VUELTA DE OBLIGADO;2500;88.0;180000;2045.5;4;35;;;;3;;;BELGRANO;13;-58.459032291564604;-34.5578003371592
MILLER;3100;66.0;135000;2045.5;4;0;;;;;SI;;VILLA URQUIZA;12;-58.485625546899179;-34.566059130779436
TUCUMAN;3500;66.0;135000;2045.5;0;0;;;;;;;ALMAGRO;5;-58.414956099561749;-34.599738681632729
DIAZ VELEZ;5500;33.0;67500;2045.5;2;0;;;;;SI;;CABALLITO;6;-58.445351535655753;-34.607914112208817
DE LOS INCAS;3900;89.0;182000;2044.9;4;30;;;;2;SI;SI;VILLA ORTUZAR;15;-58.467243762519018;-34.577217977926104
TRIUNVIRATO;5400;45.0;92000;2044.4;2;0;;;;SI;;;VILLA URQUIZA;12;-58.492285768706623;-34.569496960471376
AGUERO;700;31.3;63988;2044.3;1;A ESTRENAR;;;OPCIONAL;SI;SI;;BALVANERA;3;-58.411395660041045;-34.602056705263273
RAVIGNANI, EMILIO, Dr.;1300;34.0;69500;2044.1;1;0;;;;SI;SI;;CHACARITA;15;-58.443621836464985;-34.585335371744272
REGIMIENTO DE PATRICIOS;200;34.0;69500;2044.1;1;0;;;SI;SI;;;BOCA;4;-58.370291366774687;-34.631708856731301
YRIGOYEN, HIPOLITO;3600;34.0;69500;2044.1;2;0;;;;SI;SI;;ALMAGRO;5;-58.41718107148035;-34.614001008916119
SARMIENTO;4600;68.0;139000;2044.1;3;0;;;;;;SI;ALMAGRO;5;-58.430382093827191;-34.604174712025781
PIEDRAS;1400;34.0;69500;2044.1;1;0;;;;;;;SAN TELMO;1;-58.376597376686483;-34.625056139146558
ALVEAR, MARCELO T. De;2000;159.0;325000;2044.0;6;80;;;;2;;BALCON;RECOLETA;2;-58.396102513118748;-34.597436357204884
MARSELLA;2500;23.0;47000;2043.5;0;30;;;;SI;;;PARQUE CHAS;15;-58.477274857663829;-34.582306735878007
SALMUN FEIJOO, JOSE AARON;700;115.0;235000;2043.5;3;150;;;SI;SI;SI;;BARRACAS;4;-58.378508082007343;-34.639669237511839
LAS HERAS, GRAL.;3800;186.0;380000;2043.0;4;36;;;;4;;;PALERMO;14;-58.412681850842127;-34.581986963693339
PRINGLES;1100;70.0;143000;2042.9;3;0;;;;2;SI;SI;ALMAGRO;5;-58.426791444324763;-34.599204169064137
ALBERTI;900;70.0;143000;2042.9;3;0;;;;;SI;;SAN CRISTOBAL;3;-58.400723090100534;-34.619705699336293
BILLINGHURST;900;47.0;96000;2042.6;2;0;;;;;;;ALMAGRO;5;-58.415092999038869;-34.599588868550498
LOPEZ, CARLOS ANTONIO;3000;71.0;145000;2042.3;0;0;;;;2;;;VILLA PUEYRREDON;12;-58.504161592698679;-34.586318191905001
LASTRA;4200;42.0;85762;2042.0;0;0;;;;SI;;;VILLA DEVOTO;11;-58.524177760885344;-34.605671178637081
JUNCAL;2300;191.0;390000;2041.9;3;40;;;SI;2;SI;SI;RECOLETA;2;-58.400000738215958;-34.592138426048542
JUJUY;1700;48.0;98000;2041.7;0;0;;;;;;;PARQUE PATRICIOS;4;-58.400705653504964;-34.629960646942124
INDEPENDENCIA;400;120.0;245000;2041.7;0;90;;;;2;;;SAN TELMO;1;-58.371662325316422;-34.617342678078607
CHACO;100;120.0;245000;2041.7;4;30;;;SI;;SI;;CABALLITO;6;-58.430180810840703;-34.617408270103212
RIVADAVIA;1900;48.0;98000;2041.7;2;0;;;SI;;;;BALVANERA;3;-58.393323048605403;-34.609411436521967
DIAZ COLODRERO;3500;48.0;98000;2041.7;1;0;;;SI;;;;VILLA URQUIZA;12;-58.493439401722746;-34.563862516778357
CALLAO;300;120.0;245000;2041.7;0;0;;;;2;;;BALVANERA;3;-58.392355503202303;-34.605682705590496
CORDOBA;2000;120.0;245000;2041.7;4;38;;;;4;;;BALVANERA;3;-58.39578503361151;-34.599840774189069
